MCID,CID,Campaign Name,AID,MAID,Advertiser Name,BID,Business,Budget,Start Date,Last 7 Days,Last 30 Days,Service Principal Name,Service Principal Manager,Channel,,,,,,,,,,,
572-965-6135,4377259,"LSA | Brown, Harris and Faulkner | Synthetic",984335,226522,"Brown, Harris and Faulkner",5673,"Brown, Harris and Faulkner INC","12,453.06",01-05-2026,"2,746.98","65,392.16",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
472-393-5709,1213024,"LSA | Brown, Harris and Faulkner | Synthetic",984335,226522,"Brown, Harris and Faulkner",5673,"Brown, Harris and Faulkner INC","26,633.16",18-03-2026,"7,198.85","35,341.09",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
825-465-4634,0279207,"LSA | King, Moore and Anderson | Synthetic",090391,923608,"King, Moore and Anderson",5673,"King, Moore and Anderson INC","16,154.28",01-05-2026,"5,816.38","38,168.49",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
612-228-8093,0014103,"LSA | Adkins, Garner and Ferrell | Synthetic",201405,767346,"Adkins, Garner and Ferrell",5673,"Adkins, Garner and Ferrell INC","38,736.59",27-02-2026,364.78,"49,180.90",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
140-724-6773,4763391,"LSA | Adkins, Garner and Ferrell | Synthetic",201405,767346,"Adkins, Garner and Ferrell",5673,"Adkins, Garner and Ferrell INC","31,814.91",15-04-2026,"10,041.99","55,246.04",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
710-130-2259,8016035,LSA | Neal Inc | Synthetic,682991,797949,Neal Inc,5673,Neal Inc INC,"36,176.39",07-04-2026,0.00,"20,485.58",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
666-842-3648,7403920,LSA | Neal Inc | Synthetic,682991,797949,Neal Inc,5673,Neal Inc INC,"6,967.42",01-05-2026,"6,564.03","67,884.99",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
941-788-1967,6741168,LSA | Solis-Newton | Synthetic,743566,140570,Solis-Newton,5673,Solis-Newton INC,"33,947.36",01-05-2026,"13,436.92","47,082.89",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
387-288-9213,9639972,LSA | Jensen Ltd | Synthetic,484845,833866,Jensen Ltd,5673,Jensen Ltd INC,"32,335.37",01-05-2026,0.00,105.58,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
833-880-2402,6045981,LSA | Munoz Inc | Synthetic,329844,714582,Munoz Inc,5673,Munoz Inc INC,"48,885.03",06-01-2026,"8,296.66","41,339.57",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
